GCD of 48 and 29 is 1
GCD of 63 and 71 is 1
GCD of 35 and 90 is 5
GCD of 57 and 12 is 3
GCD of 81 and 26 is 1
GCD of 93 and 45 is 3
GCD of 74 and 88 is 2
GCD of 22 and 54 is 2
GCD of 30 and 83 is 1
GCD of 66 and 19 is 1
GCD of 51 and 32 is 1
GCD of 77 and 14 is 7
GCD of 99 and 68 is 1
GCD of 43 and 87 is 1
GCD of 25 and 56 is 1
GCD of 40 and 82 is 2
GCD of 73 and 20 is 1
GCD of 91 and 67 is 1
GCD of 95 and 50 is 5
GCD of 39 and 84 is 3
GCD of 11 and 21 is 1
GCD of 47 and 76 is 1
GCD of 28 and 61 is 1
GCD of 85 and 17 is 17
GCD of 94 and 89 is 1
GCD of 72 and 59 is 1
GCD of 18 and 62 is 2
GCD of 46 and 86 is 2
GCD of 31 and 78 is 1
GCD of 53 and 23 is 1
GCD of 69 and 70 is 1
GCD of 41 and 33 is 1
GCD of 60 and 64 is 4
GCD of 52 and 97 is 1
GCD of 75 and 84 is 3
GCD of 27 and 37 is 1
GCD of 16 and 42 is 2
GCD of 9 and 98 is 1
GCD of 100 and 7 is 1
GCD of 58 and 65 is 1
GCD of 1 and 4 is 1
GCD of 2 and 79 is 1
GCD of 10 and 13 is 1
GCD of 15 and 86 is 1
GCD of 6 and 49 is 1
GCD of 80 and 11 is 1
GCD of 5 and 3 is 1
GCD of 24 and 26 is 2
GCD of 34 and 92 is 2
GCD of 8 and 12 is 4
GCD of 25 and 67 is 1
GCD of 46 and 29 is 1
GCD of 88 and 70 is 2
GCD of 54 and 42 is 6
GCD of 33 and 47 is 1
GCD of 90 and 71 is 1
